Name,Trigger,AttackName,Impact,Puncture,Slash,Cold,Electricity,Heat,Toxin,Blast,Corrosive,Gas,Magnetic,Radiation,Viral,Void,BaseDamage,TotalDamage,CritChance,CritMultiplier,AvgShotDmg,BurstDps,SustainedDps,LifetimeDmg,StatusChance,ForcedProcs,AvgProcCount,AvgProcPerSec,Multishot,FireRate,Disposition,Mastery,Magazine,MaxAmmo,Reload,ShotType,PunchThrough,Accuracy,Introduced,IntroducedDate,Slot,Class,AmmoType,Range,InternalName,Family,FalloffStart,FalloffEnd,FalloffReduction
Tenet Tetra,Auto / Semi,Normal Attack,13.2,33.6,13.2,0,0,0,0,0,0,0,0,0,0,0,60,96,0.28,2.2,128.256,641.28,563.76263736264,71823.36,0.3,nil,0.3,1.5,1,5,1,16,80,480,2.2,Projectile,0,18.2,Update 30.5,7/6/2021,Primary,Rifle,Rifle,0,/Lotus/Weapons/Corpus/BoardExec/Primary/CrpBETetra/CrpBETetra,Tetra,0,inf,1
Tenet Tetra,Auto / Semi,Grenade Impact,200,0,0,0,0,0,0,0,0,0,0,0,0,0,200,320,0.28,2.2,427.52,568.6016,167.53140836771,2992.64,0.3,nil,0.3,0.399,1,1.33,1,16,80,480,1.8,Projectile,0,18.2,Update 30.5,7/6/2021,Primary,Rifle,Rifle,0,/Lotus/Weapons/Corpus/BoardExec/Primary/CrpBETetra/CrpBETetra,Tetra,0,inf,1
Tenet Tetra,Auto / Semi,Grenade AoE,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,1000,1600,0.28,2.2,2137.6,2843.008,724.14875191034,14963.2,0.3,nil,0.3,0.399,1,1.33,1,16,80,480,2.2,AoE,0,18.2,Update 30.5,7/6/2021,Primary,Rifle,Rifle,8,/Lotus/Weapons/Corpus/BoardExec/Primary/CrpBETetra/CrpBETetra,Tetra,0,8,0.6
Ambassador,Auto,Auto,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,24,0.14,2.8,30.048,400.53984,294.29368764255,31730.688,0.26,nil,0.26,3.4658,1,13.33,1,10,96,960,2.6,Hit-Scan,0,111.1,Update 30.5,7/6/2021,Primary,Rifle,Rifle,300,/Lotus/Weapons/Corpus/LongGuns/CrpArSniper/CrpArSniperRifle,Ambassador,0,inf,1
Ambassador,Charge,Charge,0,0,0,0,600,0,0,0,0,0,0,0,0,0,600,600,0.16,2.8,772.8,772.8,336,17001.6,0.32,nil,0.32,0.16,1,1,1,10,96,960,2.6,Hit-Scan,0,100,Update 30.5,7/6/2021,Primary,Rifle,Rifle,300,/Lotus/Weapons/Corpus/LongGuns/CrpArSniper/CrpArSniperRifle,Ambassador,0,inf,1
Ambassador,Auto / Charge,Charged AoE,0,0,0,0,800,0,0,0,0,0,0,0,0,0,800,800,0.16,2.8,1030.4,1030.4,1521.8215384615,1088102.4,0.32,nil,0.32,0.193939394,1,1,1,10,96,960,2.6,AoE,0,111.1,Update 30.5,7/6/2021,Primary,Rifle,Rifle,6,/Lotus/Weapons/Corpus/LongGuns/CrpArSniper/CrpArSniperRifle,Ambassador,0,6,0.5
Phantasma,Held,Beam,5,0,0,0,0,0,0,0,0,0,0,10,0,0,15,90,0.03,1.5,91.35,1096.2,709.30588235294,26126.1,0.222,nil,1.332,15.984,6,12,1.05,9,11,275,0.5,Discharge,0,100,Update 23.5,8/24/2018,Primary,Shotgun,Shotgun,20,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0,inf,1
Phantasma,Held,Plasma Bomb Impact,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0.03,1.5,15.225,15.225,13.840909090909,1979.25,0.37,nil,1.37,0.913333333,1,2,1.05,9,11,275,0.5,Projectile,0,100,Update 23.5,8/24/2018,Primary,Shotgun,Shotgun,0,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0,inf,1
Phantasma,Held,Plasma Bomb Explosion,0,0,0,0,0,0,0,0,0,0,0,73,0,0,73,73,0.03,1.5,74.095,148.19,135.84083333333,21191.17,0.37,nil,1.37,2.74,1,2,1.05,9,11,275,0.5,AoE,0,100,Update 23.5,8/24/2018,Primary,Shotgun,Shotgun,4.8,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0,4.8,0.5
Phantasma,Held,Cluster Bombs Impact,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0.03,1.5,15.225,30.45,27.9125,4354.35,0.37,nil,6.85,13.7,5,2,1.05,9,11,275,0.5,Projectile,0,100,Update 23.5,8/24/2018,Primary,Shotgun,Shotgun,0,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0,inf,1
Phantasma,Held,Cluster Bombs Explosion,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,18,0.03,1.5,18.27,36.54,33.495,5225.22,0.37,nil,1.37,2.74,1,2,1.05,9,11,275,0.5,AoE,0,100,Update 23.5,8/24/2018,Primary,Shotgun,Shotgun,2,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0,inf,1
Stradavar,Auto / Semi,Full Auto Mode,9.8,9.8,8.4,0,0,0,0,0,0,0,0,0,0,0,28,28,0.24,2,34.72,347.2,265.50588235294,21005.6,0.12,nil,0.12,1.2,1,10,1.1,8,65,540,2,Hit-Scan,0,14.3,Update 18.11,5/11/2016,Primary,Rifle,Rifle,300,/Lotus/Weapons/Tenno/LongGuns/TennoTommyGun/TennoTommyGunRifle,Stradavar,0,inf,1
Stradavar,Semi-Auto,Semi-Auto Mode,7.5,30,12.5,0,0,0,0,0,0,0,0,0,0,0,50,50,0.28,2,64,320,277.33333333333,38720,0.16,nil,0.16,0.8,1,5,1.1,8,65,540,2,Hit-Scan,0,28.6,Update 18.11,5/11/2016,Primary,Rifle,Rifle,300,/Lotus/Weapons/Tenno/LongGuns/TennoTommyGun/TennoTommyGunRifle,Stradavar,0,inf,1
Ignis,Held,Normal Attack,0,0,0,0,0,33,0,0,0,0,0,0,0,0,33,33,0.11,2,36.63,293.04,278.20253164557,65934,0.27,nil,0.27,2.16,1,8,0.6,5,150,750,2,Discharge,0,100,Update 8.0,5/23/2013,Primary,Rifle,Rifle,20,/Lotus/Weapons/ClanTech/Chemical/FlameThrower,Ignis,0,inf,1
Zhuge,Auto,Normal Attack,5,75,20,0,0,0,0,0,0,0,0,0,0,0,100,100,0.2,2,120,500.4,328.94001643385,67200,0.35,nil,0.35,1.4595,1,4.17,1.2,10,20,540,2.5,Projectile,0,40,Update 18.6,3/16/2016,Primary,Crossbow,Rifle,0,/Lotus/Weapons/Tenno/LongGuns/RepeatingCrossbow/RepeatingCrossbow,Zhuge,0,inf,1
Kuva Bramma,Charge,Charged Shot,187,0,0,0,0,0,0,0,0,0,0,0,0,0,187,299.2,0.35,2.1,414.392,690.6533333,414.392,2486.352,0.21,nil,0.21,0.21,1,1,0.6,15,1,5,0.6,Projectile,0,16.7,Update 27.1,2/4/2020,Primary,Bow,Sniper,0,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0,inf,1
Kuva Bramma,Charge,Radial Attack,0,0,0,0,0,0,0,839,0,0,0,0,0,0,839,1342.4,0.35,2.1,1859.224,3098.706667,1859.224,11155.344,0.21,nil,0.21,0.21,1,1,0.6,15,1,5,0.6,AoE,0,16.7,Update 27.1,2/4/2020,Primary,Bow,Sniper,8.3,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0,8.3,0.9
